"winget","StartIsBack.StartAllBack","StartAllBack"
"winget","Logitech.GHUB","Logitech G HUB"
"winget","VideoLAN.VLC","VLC"
"winget","dev47apps.DroidCam","DroidCam"
"winget","OBSProject.OBSStudio","OBS"
"winget","Discord.Discord","Discord"
"winget","Obsidian.Obsidian","Obsidian"
"winget","DEVCOM.JetBrainsMonoNerdFont","JetBrainsMono NerdFont"
"winget","Zen-Team.Zen-Browser","Zen Browser"
"winget","Microsoft.PowerToys","PowerToys"
"winget","Meta.Oculus","Meta Quest Link"
"winget","EpicGames.EpicGamesLauncher","Epic Games Launcher"
"winget","EclipseAdoptium.Temurin.17.JDK","Eclipse Adoptium 17 JDK"
"winget","BlenderFoundation.Blender","Blender"
"winget","Microsoft.DotNet.DesktopRuntime.5","Microsoft Desktop Runtime 5"
"winget","Microsoft.PowerShell","PowerShell"
"winget","JanDeDobbeleer.OhMyPosh","OhMyPosh"
"winget","ajeetdsouza.zoxide","zoxide"
"winget","junegunn.fzf","fzf"
"winget","Git.Git","Git"
"winget","GitHub.cli","GitHub CLI"
"winget","GoLang.Go","Go Lang"
"winget","SQLite.SQLite","SQLite"
"winget","Kitware.CMake","CMake"
"winget","Ninja-build.Ninja","Ninja"
"winget","KhronosGroup.VulkanSDK","Vulkan SDK"
"scoop","main/7zip","7Zip"
"scoop","main/fd","fd"
"scoop","main/lua-language-server","Lua Language Server"
"scoop","main/ripgrep","ripgrep"
"scoop","extras/tinynvidiaupdatechecker","TinyNvidiaUpdateChecker"
"scoop","versions/mingw-winlibs-llvm-ucrt","WinLibs"
"scoop","versions/neovim-nightly","Neovim"
